Command Structure,,Diagnostic Structure,,Packet Types,,Packet Opcodes,
Name,Bytes,Name,Bytes,Name,Value,Name,Value
Opcode,1,Type,1,Info,0,Move Forward,0
Command,2,Length,1,Error,1,Move Backward,1
,,Payload,128,Status,2,Move Left,2
,,,,Log,3,Move Right,3
,,,,Log Client,10,Incr Forward,4
,,,,Log Server,11,Incr Backward,5
,,,,Log Packet,12,Incr Left,6
,,,,Log Motor,13,Incr Right,7
,,,,Log Wifi,14,Decr Forward,8
,,,,Log Wmark,15,Decr Backward,9
,,,,Log Infrared,16,
,,,,,,Decr Left,10
,,,,,,Decr Right,11
,,,,,,Servo Duty,12
,,,,,,Manual Mode,13
,,,,,,Stop,14
,,,,,,Deliver,15
,,,,,,Pivot Left,16
,,,,,,Pivot Right,17
,,,,,,Change State,18
,,,,,,Execute Self Test,19
